Key|English|Russian|French
Online|Online|В сети|
WasOnline|Was online|Был в сети|
Write|Write|Написать|
AddToFriends|Add to friends|Добавить в друзья|
Edit|Edit|Редактировать|
LogOut|Log out|Выйти|
Place|Place|Место|
InGame|In game|В игре|
Accuracy|Accuracy|Точность|
Score|Score|Очков|
Hits|Hits|Разрезано|
MaxCombo|Max combo|Макс.комбо|
MapsPublished|Maps published|Опубликовал карт|
PlayCount|Play count|Количество игр|
LikesCount|Likes|Лайков|
BestResults|Best results|Лучшие результаты|
Missed|Missed|Пропусков|
d|d|д|
h|h|ч|
m|m|м|
s|s|с|
PasswordChangeOk|Password was successfully changed.|Пароль был успешно изменен.|
PasswordChangeNotOk|Entered current password isn't correct.|Текущий пароль введен неверно.|
CurrentPassword|Current password|Текущий пароль|
NewPassword|New password|Новый пароль|
NewPassword(again)|New password (again)|Новый пароль (ещё раз)|
CurrentEmail|Current email|Текущая почта|
Email|Email|Почта|
NewEmail|New email|Новая почта|
Change|Change|Изменить|
EmailChangeOk|Email was successfully changed.|Почта была успешно изменена.|
Invalid email|Incorrect new email address.|Некорректная новая почта.|
Invalid code|Invalid code, send again.|Неверный код, отправь ещё раз.|
Avatar|Avatar|Аватарка|
SelectAvatar|Select avatar|Выбери аву|
BackgroundImage|Background image|Задний фон|
SelectBackground|Select background image|Выбери задний фон|
