Key|English|Russian|French
Beatmaps|Beatmaps|Карты|Cartes
Difficulties|Difficulties|Сложности|Difficultés
Game|Game|Игра|Jeu
RecordNotSet|Record not set yet|Рекорд пока не установлен|Record pas encore établi
InMapLeaderboard|in map leaderboard|в рейтинге карты|dans le classement de la carte
Mods|Mods|Моды|Mods
Download|Download|Скачать|Télécharger
Update|Update|Обновить|Mise à jour
Cancel|Cancel|Отменить|Annuler
Waiting|Waiting|Ожидание|En attente
Start|Start|Начать|Démarrez
Location|Location|Локация|Emplacement
GroupDeleted|Group has been deleted|Группа была удалена|Le groupe a été supprimé
