Key|English|Russian|French

// Common
//
Subtitle|I don't know why|Я не знаю почему|Je ne sais pas
NewVer|The new version is now available in the Play Market, you need to update to the new version.[N][N]<size=16>Your version is <color=#F00>{0}</color>, new is <color=#0DF>{1}</color></size>|Доступна новая версия игры теперь доступна в Play Market, необходимо обновиться до новой версии.[N][N]<size=16>Твоя версия <color=#F00>{0}</color>, а новая <color=#0DF>{1}</color></size>|La nouvelle version est maintenant disponible sur le Play Market, vous devez mettre à jour vers la nouvelle version.[N][N]<size=16>Votre version est <color=#F00>{0}</color>, nouveau est <color=#0DF>{1}</color></size>
Loading|Loading|Загрузка|Chargement
Loaded|Loaded|Загружено|Chargé
Okay|Okay|Понял|j'ai compris
Source|Source|Исходник|La source
Search|Search|Поиск|Chercher
Later|Later|Позже|Plus tard
Reset|Reset|Сброс|Réinitialiser
Score|Score|Очки|But
Missed|Missed|Промах|Manqué
Accuracy|Accuracy|Точность|Précision
Difficulties|Difficulties|Сложности|Des difficultés
PlayCount|Play count|Кол-во игр|Nombre de parties
Back|Back|Назад|Retour
Yes|Yes|Да|Oui
No|No|Нет|Non


// Hints
Hint_FingerPause|Finger pause|Пауза пальцем|Pause doigt
Hint_FingerPauseText|Pause game if 3rd finger detected on screen[N](Left thumb, right thumb and index finger)|Ставить на паузу если на экране будет 3 пальца[N](Правый и левый большой палец и указательный)|Mettre le jeu en pause si le 3ème doigt est détecté à l'écran[N](Pouce gauche, pouce droit et index)



// Main_UI -> MainScreen
//
SliceSound|Slice sound volume|Громкость разрубания|Couper le volume sonore
Glow|Bloom|Свечение|Floraison
GlowPower|Glow power|Сила свечения|Puissance lumineuse
Off|Off|Выкл|De
On|On|Вкл|Sur
Low|Low|Низкий|Faible
Middle|Middle|Сред.|Milieu
High|High|Высокий|Haute
Short|Short|Короткая|Court
Long|Long|Длинная|Longue
Top|Top|Вверху|Haut
Bottom|Bottom|Внизу|Bas
BottomRev|Bottom Rev|Внизу реверс|Rev bas
TimeTextSide|Time text side|Позиция текста|Côté texte de l'heure
Info|If you find a bug or want to suggest a change then write to me in the mail|Если вы нашли баг или хотите предложить изменение то пишите мне на почту|Si vous trouvez un bug ou souhaitez suggérer un changement| écrivez-moi par mail
ContactInfo|Contact Info|Контактная инфа|Informations de contact
PrivacyPolicy|Open Privacy Policy|Открыть Политику Конфиденциальности|Politique de confidentialité ouverte
WeHaveEditor|We have editor and you can download here.[N]<color=#333>(click to download)</color>|У нас есть редактор и ты можешь скачать его тут.[N]<color=#333>(нажми чтобы скачать)</color>|Nous avons un éditeur et vous pouvez le télécharger ici. <color=#333>(cliquez pour télécharger)</color>


// Main_UI -> TracksScreen
//
SelectList|Select music list|Выберите тип музыки|Sélectionnez la liste de musique
OwnList|Own|Своя|Musique locale
AuthorList|Author's|Авторская|Auteurs
SortBy|Sort by|Сортировка по|Trier par
popularity|Popularity|Популярности|Popularité
likes|Likes|Лайкам|Aime
plays|Plays count|Количеству игр|Le nombre de jeux
date|Date|Дате|Date
NewTracksPos|New tracks position|Позиция новых треков|Nouvelle position des pistes
OnTop|Top|Вверху|Haut
OnBottom|Bottom|Внизу|Bas
DontMove|Don't move|Не двигать|Ne bouge pas

AllMusic|All music|Вся музыка|Toutes les musiques
DownloadedMusic|Downloaded|Скачанная|Téléchargé
Approved|Approved|Одобренная|Approuvé

NewTracks|New tracks|Новые треки|De nouvelles pistes
AllTracks|All tracks|Все треки|Toutes les pistes
All|All|Всё|Tout
PlayersMaps|Players maps|Карты игроков|Cartes des joueurs
DevMaps|Developer maps|Карты разраба|Cartes des développeurs
Display|Display|Показать|Afficher
Filters|Filters|Фильтры|Filtres
MapsCount|Maps count|Количество карт|Nombre de cartes
SelectLocation|Select Location|Выбрать локацию|Sélectionnez l'emplacement
Search..|Search..|Поиск..|Chercher..
MapsByPlayers|Maps by players|Карты от игроков|Cartes par joueurs


// Main_UI -> ConfigScreen
//
ChangeMap|Change map|Смена карты|Changer de carte
Delete|Delete|Удалить|Effacer
Download|Download|Скачать|Télécharger
Difficult|Difficult|Сложность|Difficile
MusicSpeed|Music speed|Скорость музыки|Vitesse de la musique
CubesSpeed|Cubes speed|Скорость кубов|Vitesse des cubes
NoArrows|No arrows|Без стрелок|Pas de flèches
NoLines|No lines|Без линий|Pas de lignes
Your record is|Your record is|Ваш рекорд|Votre dossier est
Record|Record|Рекорд|Record
NotSetYet|not set yet|ещё не установлен|pas encore installé
Cancel|Cancel|Отменить|Annuler
Play|Play|Играть|Jouer
WaitingForDownload|Waiting for download..|Ожидание загрузки..|En attente de téléchargement ..
Vibration|Vibration|Вибрация|Vibration
MapCreator|Map creator|Создатель карты|Créateur de carte

// SelectMap
//
Maps|Maps|Карты|Les cartes
UnlockFor|Unlock for|Разблокировать за|Déverrouiller pour
SelectMap|Select map|Выбрать карту|Choisissez une carte
Coins|coins|монет|pièces de monnaie
Unlocked|Unlocked|Разблокировано|Déverrouillé


// Tutorial
//
Tutorial|Tutorial|Туториал|Didacticiel
Intro|<size=56><color=#FF5E00FF><b>Hi guy!</b></color></size>[N][N]I think it's your first time playing this game.[N]I'll tell you how to play[N][N]If you are ready click this button|<size=56><color=#FF5E00FF><b>Привет!</b></color></size>[N][N]Думаю ты впервые играешь в эту игру.[N]Я расскажу как играть[N][N]Если ты готов, нажми кнопку|<size=56><color=#FF5E00FF><b>Salut le gars!</b></color></size>[N][N]Je pense que c'est votre première fois à jouer à ce jeu.[N]I ' Je vais vous dire comment jouer[N][N]Si vous êtes prêt cliquez sur ce bouton
IntroBtn|Start|Начать|Début
Next|Next|Далее|Prochain
Page1|In the game you need to cut the bits (cubes) that will appear in time with the music.[N]This is <b><color=#FF5E00FF>cube with point</color></b>. Slice it by <b><color=#FF5E00FF>swiping it in any direction</color></b>|В игре вам нужно разрезать биты (кубики), которые будут появляться в такт музыке.[N]Это <b><color=#FF5E00FF>куб с точкой</color></b>. Разруби его , <b><color=#FF5E00FF>проводя по нему пальцем в любом направлении</color></b>|Dans le jeu| vous devez couper les morceaux (cubes) qui apparaîtront au rythme de la musique.[N]Il s'agit du<b><color=#FF5E00FF>cube avec point</color></b>. Tranchez-le en<b><color=#FF5E00FF>en le faisant glisser dans n'importe quelle direction</color></b>
Page2|This is <b><color=#FF5E00FF>cube with arrow</color></b>[N][N]In order to cut it you need to swipe it in the same direction as the arrow shows.[N]<b><color=#FF5E00FF>(In this case, up)</color></b>|Это <b><color=#FF5E00FF>куб со стрелкой</color></b>[N][N]Для того чтобы разрубить его тебе нужно свайпнуть в том же направлении куда показывает стрелка.[N]<b><color=#FF5E00FF>(В этом случае, вверх)</color></b>|Il s'agit du<b><color=#FF5E00FF>cube avec flèche</color></b>[N][N]Pour le couper vous devez le faire glisser dans le même sens que le montre la flèche.[N]<b><color=#FF5E00FF>(Dans ce cas , vers le haut)</color></b>
Page3|<b><color=#FF5E00FF>In this case, down</color></b>.You will also see cubes with left and right directions|<b><color=#FF5E00FF>В этом случае, вниз</color></b>.Ты также увидишь кубы со стрелками влево и вправо|<b><color=#FF5E00FF>Dans ce cas, vers le bas</color></b>. Vous verrez également des cubes avec des directions gauche et droite
